32#	Number	of	sensors
#x	z			
0	0.06			
0.1	0.15			
0.15	0.2			
0.24	0.22			
0.36	0.22			
0.43	0.19			
0.51	0.13			
0.57	0.04			
0.74	0.04			
0.82	0.12			
0.93	0.19			
1	0.23			
1.1	0.22			
1.19	0.17			
1.24	0.11			
1.33	0.02			
1.5	0.02			
1.56	0.11			
1.63	0.15			
1.68	0.2			
1.85	0.21			
1.93	0.15			
2	0.1			
2.08	0.04			
2.22	0.05			
2.33	0.12			
2.39	0.2			
2.46	0.25			
2.59	0.26			
2.66	0.2			
2.72	0.13			
2.79	0.04			
1342#	Number	of	data					
#a	b	m	n	R	err			
1	2	3	4	-226.8001 0.0000000
1	2	4	5	-188.4230 0.114609
1	2	5	6	-41.93041 0.016542
1	2	6	7	-21.03697 0.010130
1	2	7	8	-11.09975 0.005065
1	2	8	9	-4.207365 0.001462
1	2	9	10	-0.419245 0.000182
1	2	10	11	-0.264017 0.000091
1	3	5	7	-164.8808 -0.012962
1	3	7	9	-34.50831 0.0000000
1	3	9	11	-1.394422 0.0000000
1	3	11	13	-2.497536 0.0000000
1	3	13	15	-0.730362 0.0000000
1	3	15	17	-0.708951 0.0000000
1	3	17	19	-0.240241 -0.000000
1	3	19	21	-0.233289 0.000087
2	3	4	5	-462.7051 0.176848
2	3	5	6	-70.20912 0.044212
2	3	6	7	-31.79725 0.015631
2	3	7	8	-14.39090 0.007134
2	3	8	9	-4.811655 0.001953
2	3	9	10	-0.443006 0.000199
2	3	10	11	-0.267739 0.000141
2	3	11	12	-0.517684 0.0000000
1	4	7	10	-87.55700 0.0000000
1	4	10	13	-6.618607 0.0000000
1	4	13	16	-2.293452 0.000975
1	4	16	19	-1.281556 0.000344
1	4	19	22	-0.650711 -0.000000
1	4	22	25	-0.629426 0.0000000
1	4	25	28	-0.235802 0.0000000
1	4	28	31	-0.236621 0.000136
2	4	6	8	-184.1684 0.044111
2	4	8	10	-18.24876 0.003898
2	4	10	12	-2.622635 0.0000000
2	4	12	14	-3.010331 0.0000000
2	4	14	16	-1.277862 0.000344
2	4	16	18	-0.803638 0.000172
2	4	18	20	-0.333855 0.000086
2	4	20	22	-0.319951 0.000086
3	4	5	6	-254.3813 0.191849
3	4	6	7	-98.88522 0.021449
3	4	7	8	-39.18956 0.021449
3	4	8	9	-11.93607 0.004643
3	4	9	10	-1.058325 0.000335
3	4	10	11	-0.631321 0.000335
3	4	11	12	-1.206638 0.000335
3	4	12	13	-1.752845 0.000670
1	5	9	13	-19.94969 0.0000000
1	5	13	17	-6.739141 0.004062
1	5	17	21	-2.060679 0.0000000
1	5	21	25	-1.663029 -0.000000
1	5	25	29	-0.702603 -0.000000
2	5	8	11	-58.17311 0.0000000
2	5	11	14	-12.48666 0.003300
2	5	14	17	-4.768999 0.002021
2	5	17	20	-1.334520 0.0000000
2	5	20	23	-1.201619 0.000412
2	5	23	26	-0.908738 0.000291
2	5	26	29	-0.452059 0.000145
2	5	29	32	-0.323316 0.000072
3	5	7	9	-223.1209 0.222927
3	5	9	11	-6.120166 0.003115
3	5	11	13	-9.963345 0.005087
3	5	13	15	-2.732726 0.001422
3	5	15	17	-2.534786 0.001422
3	5	17	19	-0.809146 0.000449
3	5	19	21	-0.775372 0.000635
3	5	21	23	-0.620494 0.000317
4	5	6	7	-425.7535 0.113587
4	5	7	8	-137.6421 0.113587
4	5	8	9	-34.60814 0.010039
4	5	9	10	-2.839042 0.001537
4	5	10	11	-1.602339 0.000768
4	5	11	12	-2.922303 0.001254
4	5	12	13	-4.094635 0.002173
4	5	13	14	-0.740107 0.000350
2	6	10	14	-27.50142 0.0000000
2	6	14	18	-8.854945 0.0000000
2	6	18	22	-2.585086 0.0000000
2	6	22	26	-2.054706 0.000880
2	6	26	30	-0.912826 0.000440
3	6	9	12	-21.47261 0.006115
3	6	12	15	-15.84120 0.0000000
3	6	15	18	-5.260444 -0.000004
3	6	18	21	-1.922544 -0.000000
3	6	21	24	-1.578591 -0.000000
3	6	24	27	-0.938504 0.000270
3	6	27	30	-0.648329 -0.000000
4	6	8	10	-109.9162 0.043621
4	6	10	12	-11.06263 0.002726
4	6	12	14	-10.80235 0.002726
4	6	14	16	-4.244106 0.001363
4	6	16	18	-2.520469 0.000963
4	6	18	20	-0.988378 0.000340
4	6	20	22	-0.938806 0.0000000
4	6	22	24	-0.905341 0.0000000
5	6	7	8	-430.7451 0.466004
5	6	8	9	-67.80167 0.036840
5	6	9	10	-4.679315 0.001628
5	6	10	11	-2.480747 0.000575
5	6	11	12	-4.051907 0.001151
5	6	12	13	-5.115303 -0.000002
5	6	13	14	-0.855501 0.000287
5	6	14	15	-1.306150 -0.000000
3	7	11	15	-32.21378 -0.000432
3	7	15	19	-7.665096 -0.000013
3	7	19	23	-3.012013 0.0000000
3	7	23	27	-1.900335 0.0000000
3	7	27	31	-0.992850 0.000216
4	7	10	13	-29.09431 0.0000000
4	7	13	16	-7.973574 0.0000000
4	7	16	19	-4.145814 0.001555
4	7	19	22	-1.928100 -0.000000
4	7	22	25	-1.795760 0.000549
4	7	25	28	-0.642097 0.000238
4	7	28	31	-0.648512 0.0000000
5	7	9	11	-13.62644 0.009260
5	7	11	13	-15.89912 0.011342
5	7	13	15	-3.617361 0.002005
5	7	15	17	-3.326204 0.002005
5	7	17	19	-0.998135 0.000708
5	7	19	21	-0.902442 0.000613
5	7	21	23	-0.710360 0.000457
5	7	23	25	-0.720050 0.000409
6	7	8	9	-74.30497 0.063754
6	7	9	10	-4.341882 0.003333
6	7	10	11	-2.110358 0.001781
6	7	11	12	-3.079285 0.002357
6	7	12	13	-3.634120 0.002520
6	7	13	14	-0.567572 0.000315
6	7	14	15	-0.883794 0.000630
6	7	15	16	-0.660814 0.000522
4	8	12	16	-34.20980 0.0000000
4	8	16	20	-7.228582 -0.000011
4	8	20	24	-3.521150 0.0000000
4	8	24	28	-1.666318 0.0000000
4	8	28	32	-1.084734 0.0000000
5	8	11	14	-35.20818 0.013085
5	8	14	17	-10.41182 0.0000000
5	8	17	20	-2.452463 -0.000001
5	8	20	23	-1.978755 0.000578
5	8	23	26	-1.427463 0.000408
5	8	26	29	-0.674265 0.000204
5	8	29	32	-0.490786 0.000204
6	8	10	12	-19.84176 0.016004
6	8	12	14	-14.07473 0.012003
6	8	14	16	-5.052115 0.004001
6	8	16	18	-2.761287 0.002236
6	8	18	20	-0.956774 0.000750
6	8	20	22	-0.855084 0.000790
6	8	22	24	-0.813206 0.000770
6	8	24	26	-0.526395 0.000500
7	8	9	10	-17.46713 0.011522
7	8	10	11	-6.643728 0.003840
7	8	11	12	-8.002679 0.004294
7	8	12	13	-8.553510 0.004704
7	8	13	14	-1.336947 0.000588
7	8	14	15	-2.026545 0.001357
7	8	15	16	-1.490218 0.000831
7	8	16	17	-1.389073 0.000759
5	9	13	17	-35.24072 0.008426
